Job	T (K)	VibrationalG (kcal/mol)	RotationalG (kcal/mol)	TranslationalG (kcal/mol)	ThermalCorrection (kcal/mol)	TotalG (kcal/mol)
ethane	258.15	-4.24143929	-7.86071102	56.18783973	44.08568942	-4.90937795E+04
ethane	268.15	-4.43611873	-8.21584285	56.17498333	43.52302176	-4.90943422E+04
ethane	278.15	-4.63191004	-8.57282780	56.16121336	42.95647552	-4.90949087E+04
ethane	288.15	-4.82877324	-8.93159924	56.14650302	42.38613054	-4.90954791E+04
ethane	298.15	-5.02667110	-9.29209512	56.13082455	41.81205833	-4.90960531E+04
ethane	308.15	-5.22556893	-9.65425760	56.11414946	41.23432293	-4.90966309E+04
