Job	T (K)	VibrationalG (kcal/mol)	RotationalG (kcal/mol)	TranslationalG (kcal/mol)	ThermalCorrection (kcal/mol)	TotalG (kcal/mol)
ethane	258.15	-4.24143968	-7.86071245	56.18782418	44.08567205	-4.90937795E+04
ethane	268.15	-4.43611913	-8.21584433	56.17496686	43.52300339	-4.90943422E+04
ethane	278.15	-4.63191046	-8.57282935	56.16119594	42.95645614	-4.90949087E+04
ethane	288.15	-4.82877367	-8.93160083	56.14648463	42.38611013	-4.90954791E+04
ethane	298.15	-5.02667155	-9.29209677	56.13080518	41.81203685	-4.90960532E+04
ethane	308.15	-5.22556939	-9.65425931	56.11412908	41.23430038	-4.90966309E+04
